Title,Seed URL,Seed Text,Account Key,Language,Post Status,CTA URL
,,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,https://www.threads.com/@nazya.ai/post/DWIvNj9lsJS,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,https://www.threads.com/@nazya.ai/post/DV_G6gcEWo9,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,https://www.threads.com/@nazya.ai/post/DV-LtvCDvvX,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,ADD_DEFAULT_URL_4,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,ADD_DEFAULT_URL_5,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,ADD_DEFAULT_URL_6,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,ADD_DEFAULT_URL_7,,"DEFAULT",EN,Seeded,https://t.me/solutions_247ai
,,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.builders.lab/post/DWHto11CZQu,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.builders.lab/post/DWGqj5klAK0,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.builders.lab/post/DWE-epBmBWZ,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_BUILDERS_LAB_URL_4,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_BUILDERS_LAB_URL_5,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_BUILDERS_LAB_URL_6,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_BUILDERS_LAB_URL_7,,"AI_BUILDERS_LAB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.solutionshub/post/DWHsgZpiadT,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.solutionshub/post/DWHSSR3FLtb,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,https://www.threads.com/@ai.solutionshub/post/DWCYXOviTKv,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_SOLUTIONSHUB_URL_4,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_SOLUTIONSHUB_URL_5,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_SOLUTIONSHUB_URL_6,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
,ADD_AI_SOLUTIONSHUB_URL_7,,"AI_SOLUTIONSHUB",UA,Seeded,https://t.me/nazik_fill_ai_tech
